,노선명,계_x,계_y,합계
0,경부선,90042.0,94274,184316.0
1,남해선,40271.0,42724,82995.0
2,광주대구선,19004.0,21390,40394.0
3,서해안선,45520.0,48770,94290.0
4,울산선,46605.0,46175,92780.0
5,평택화성선,87117.0,94760,181877.0
6,수원광명선,67757.0,70800,138557.0
7,익산포항선,25456.0,28326,53782.0
8,호남선,43234.0,46714,89948.0
9,논산천안선,52106.0,54733,106839.0
10,순천완주선,23145.0,25972,49117.0
11,구리포천선,47457.0,51865,99322.0
12,당진영덕선,23245.0,25653,48898.0
13,옥산오창선,8802.0,10076,18878.0
14,중부선,39801.0,43379,83180.0
15,제2중부선,62901.0,67018,129919.0
16,평택제천선,41358.0,44681,86039.0
17,중부내륙선,42105.0,45064,87169.0
18,영동선,68160.0,75360,143520.0
19,광주원주선,42284.0,43363,85647.0
20,중앙선,29727.0,32778,62505.0
21,대구부산선,40122.0,47496,87618.0
22,서울양양선,28086.0,32031,60117.0
23,강일춘천선,61618.0,65765,127383.0
24,동해선,18585.0,20590,39175.0
25,부산울산선,43868.0,48650,92518.0
26,수도권제1순환선(남부),178516.0,184330,362846.0
27,수도권제1순환선(북부),148727.0,152129,300856.0
28,남해제1지선,46661.0,51098,97759.0
29,남해제2지선,75185.0,75799,150984.0
30,부산항신항선,22011.0,24870,46881.0
31,제2경인선,118009.0,117872,235881.0
32,제2경인선(인천대교),42520.0,47332,89852.0
33,제2경인선(안양성남),73750.0,74406,148156.0
34,경인선,166077.0,180354,346431.0
35,인천국제공항선,46151.0,48034,94185.0
36,서천공주선,19140.0,20667,39807.0
37,평택시흥선,65300.0,67437,132737.0
38,오산화성선,50123.0,50650,100773.0
39,용인서울선,98278.0,99694,197972.0
40,호남선지선,51613.0,55436,107049.0
41,고창담양선,16696.0,17812,34508.0
42,대전남부순환선,34420.0,36581,71001.0
43,상주영천선,29038.0,28580,57618.0
44,수도권제2순환선(봉담),67233.0,74368,141601.0
45,수도권제2순환선(인천),62022.0,61990,124012.0
46,중부내륙지선,57247.0,61135,118382.0
47,중앙선지선,65270.0,66883,132153.0
48,부산외곽순환선,46460.0,48889,95349.0
49,0,0.0,0,0.0
50,함양울산선,,9491,
51,서울문산선,,43337,
52,수도권제2순환선,,24510,
